zipcode,med_list_price,avg_sale,med_list_per_sqft,avg_num_offers,med_sale_price,avg_down_payment,med_sale_per_sqft,num_sold,ele_school_mean,mid_school_mean,high_school_mean
07082,$839K,99.4%,$239,—,$567K,—,$229,6,7.0,7.0,nan
07083,$368K,100.0%,$206,2,$350K,20.0%,$261,72,6.2,4.2,3.3333333333333335
07086,$975K,94.8%,$586,1,$812K,30.0%,$382,15,5.6,6.333333333333333,5.0
07087,$420K,97.8%,$355,1,$402K,10.0%,$345,34,5.8,5.8,4.5
07088,$230K,95.3%,$309,1,$235K,—,$110,3,5.0,nan,nan
07090,$799K,97.1%,$339,1,$745K,20.0%,$334,41,8.2,7.0,8.0
07091,nan,nan,nan
07092,$634K,100.2%,$288,1,$585K,17.2%,$270,14,7.0,7.0,8.0
07093,$450K,98.4%,$362,1,$365K,20.0%,$333,35,6.2,5.8,4.0
07094,$470K,95.3%,$284,1,$508K,3.2%,$265,16,5.0,5.0,5.5
07095,$285K,96.7%,$216,1,$285K,5.0%,$205,26,5.0,4.5,6.333333333333333
07096,nan,nan,nan
07097,nan,nan,nan
07099,nan,nan,nan
07101,5.2,6.4,5.0
07102,$300K,100.4%,$192,—,$273K,—,$226,1,4.666666666666667,4.25,4.0
07103,$262K,99.5%,$114,1,$260K,3.0%,$115,15,2.8,2.8,2.8
07104,$329K,101.4%,$152,1,$352K,—,$158,13,5.4,5.4,5.4
07105,$305K,107.9%,$212,—,$273K,—,$242,6,5.2,5.2,5.2
07106,$249K,98.2%,$121,1,$255K,20.0%,$154,17,3.8,3.8,3.8
07107,$300K,102.4%,$124,—,$260K,4.5%,$144,8,5.2,5.2,5.2
07108,$275K,97.3%,$88,1,$218K,—,$110,5,2.2,2.2,2.2
07109,$317K,99.5%,$208,4,$318K,25.0%,$211,53,6.0,5.0,2.0
07110,$400K,98.4%,$254,1,$398K,4.9%,$271,48,7.4,5.666666666666667,6.0
07111,$225K,99.3%,$121,1,$182K,—,$120,19,4.6,4.6,2.0
07112,$275K,98.9%,$114,1,$213K,—,$115,12,2.8,2.2,1.0
07114,$330K,88.1%,$159,—,$211K,—,$146,1,4.8,4.8,4.8
07175,5.6,5.6,5.6
07182,5.6,5.6,5.6
07184,4.0,4.0,4.0
07188,5.6,5.6,5.6
07189,6.4,6.4,6.4
07191,2.0,2.0,2.0
07192,5.6,5.6,5.6
07193,5.6,5.6,5.6
07194,2.0,2.0,2.0
07195,5.6,5.6,5.6
07198,5.6,5.4,2.5
07199,5.2,6.4,5.0
07201,$400K,92.2%,$177,1,$165K,—,$131,1,4.6,4.6,2.0
07202,$320K,101.2%,$183,1,$237K,—,$199,10,6.2,6.0,3.2
07203,$282K,100.0%,$195,1,$280K,5.0%,$214,41,4.6,4.6,4.6
07204,$319K,100.4%,$192,—,$324K,—,$213,16,4.4,4.4,4.4
07205,$289K,97.6%,$190,1,$300K,9.7%,$204,25,4.8,4.8,4.8
07206,$349K,106.1%,$151,—,$175K,—,$166,2,4.8,4.8,8.0
07207,$290K,105.6%,$41,—,$190K,—,—,1,nan,nan,nan
07208,$372K,96.5%,$203,3,$298K,—,$196,22,5.2,5.2,5.2
07302,$854K,98.2%,$770,1,$733K,25.0%,$744,54,5.8,4.8,6.0
07303,nan,nan,nan
07304,$375K,99.0%,$318,1,$422K,25.0%,$272,23,5.0,5.0,5.0
07305,$415K,99.0%,$277,1,$370K,26.0%,$267,52,5.4,5.4,5.4
07306,$500K,97.4%,$397,1,$493K,20.0%,$345,34,5.6,5.6,5.6
07307,$699K,97.4%,$477,3,$544K,20.0%,$415,47,4.8,4.75,nan
07308,6.4,6.4,6.4
07309,6.2,6.2,6.2
07310,$835K,98.3%,$787,1,$628K,20.0%,$662,6,4.0,4.0,10.0
07311,nan,nan,nan
07395,5.4,5.4,5.4
07399,5.4,5.4,5.4
07401,$738K,97.7%,$287,—,$760K,—,$296,15,7.0,7.0,7.0
07403,$305K,96.7%,$202,1,$295K,—,$210,9,7.0,7.0,7.0
07405,$547K,96.9%,$208,1,$487K,15.0%,$198,37,6.5,6.5,6.5
07407,$365K,100.0%,$237,1,$360K,10.0%,$217,26,5.4,5.4,5.4
07410,$450K,100.6%,$285,1,$428K,19.1%,$279,62,8.6,8.6,8.6
07416,$199K,98.4%,$136,—,$205K,—,$119,8,6.5,6.5,6.5
07417,$1.32M,94.1%,$284,7,$800K,100.0%,$233,24,7.6,7.6,7.5
07418,$310K,100.0%,$133,—,$235K,—,$162,2,5.333333333333333,4.0,7.0
07419,$272K,96.8%,$144,—,$211K,2.9%,$140,20,6.0,5.666666666666667,4.0
07420,$322K,100.4%,$203,—,$280K,—,$217,8,7.0,7.0,nan
07421,$285K,96.2%,$175,—,$283K,0.0%,$156,18,5.0,nan,nan
07422,$225K,97.1%,$168,—,$174K,3.1%,$152,20,nan,nan,nan
07423,$1.08M,94.1%,$337,—,$645K,—,$307,9,8.0,8.0,8.0
07424,$422K,99.2%,$234,1,$370K,20.0%,$254,27,5.2,5.2,5.2
07428,nan,nan,nan
07430,$550K,97.9%,$270,1,$423K,5.1%,$263,76,7.8,7.8,7.8
07432,$499K,100.1%,$282,1,$398K,20.6%,$300,4,8.333333333333334,6.0,6.0
07435,$455K,99.7%,$226,—,$337K,—,$211,6,7.0,nan,nan
07436,$444K,98.9%,$247,2,$451K,—,$239,40,7.0,7.0,7.0
07438,$330K,100.4%,$164,—,$315K,—,$166,21,6.666666666666667,5.0,6.0
07439,$230K,93.3%,$138,—,$250K,—,$140,5,6.0,6.0,nan
07440,$475K,96.3%,$307,—,$455K,—,$238,4,5.0,nan,nan
07442,$300K,98.0%,$218,—,$325K,—,$214,17,6.5,6.0,6.0
07444,$517K,97.6%,$268,—,$540K,—,$246,15,7.0,8.0,7.0
07446,$521K,98.2%,$277,1,$510K,—,$263,29,9.0,7.0,8.0
07450,$799K,97.7%,$338,1,$716K,—,$329,52,9.0,7.8,8.0
07451,nan,nan,nan
07452,$675K,98.4%,$341,1,$684K,20.3%,$328,23,7.8,9.0,8.0
07456,$390K,98.1%,$191,1,$350K,—,$217,19,6.0,6.0,nan
07457,$345K,99.0%,$251,—,$294K,—,$264,10,7.0,7.0,nan
07458,$1.5M,92.8%,$324,3,$888K,20.5%,$243,15,8.333333333333334,9.0,nan
07460,$262K,96.4%,$165,—,$185K,—,$199,3,6.0,5.5,nan
07461,$260K,98.9%,$136,—,$223K,—,$120,29,5.25,4.0,6.0
07462,$150K,98.0%,$138,—,$128K,—,$136,18,5.333333333333333,4.0,7.0
07463,$477K,99.9%,$287,1,$426K,—,$285,28,6.5,5.0,7.0
07465,$359K,101.7%,$189,—,$335K,—,$189,11,7.5,7.5,6.0
07470,$494K,98.1%,$228,1,$450K,20.0%,$235,88,7.6,6.8,6.5
07474,nan,nan,nan
07477,6.8,7.0,7.0
07480,$289K,96.7%,$156,2,$280K,—,$159,35,5.0,5.5,6.0
07481,$799K,98.4%,$292,—,$723K,—,$295,36,7.6,7.0,nan
07495,$689K,—,—,—,—,—,—,—,nan,nan,nan
07501,$269K,96.2%,$138,—,$227K,—,$116,10,6.4,5.6,2.6
07502,$299K,94.5%,$197,—,$322K,—,$194,8,4.333333333333333,3.0,1.5
07503,$259K,102.1%,$178,—,$315K,—,$158,5,3.6,2.8,nan
07504,$325K,96.2%,$136,—,$240K,—,$123,4,2.25,2.25,1.0
07505,$299K,—,—,—,—,—,—,—,5.0,5.0,3.5
07506,$409K,100.4%,$255,1,$347K,3.5%,$224,13,5.6,3.5,4.0
07507,nan,nan,nan
07508,$399K,99.1%,$201,—,$381K,—,$203,21,5.2,6.4,4.5
07509,nan,nan,nan
07510,3.0,3.0,2.0
07511,5.0,5.0,nan
07512,$435K,98.6%,$241,1,$316K,10.0%,$216,10,4.25,4.333333333333333,nan
07513,$350K,102.4%,$176,—,$342K,—,$143,3,2.25,2.4,1.0
07514,$270K,110.8%,$147,—,$258K,—,$126,4,5.0,3.5,3.0
07522,$250K,92.7%,$133,—,$197K,—,$106,8,6.2,5.8,2.4
07524,$289K,113.8%,$149,—,$280K,—,$141,4,2.5,2.5,nan
07533,5.2,4.6,2.4
07538,6.0,7.0,4.666666666666667
07543,nan,nan,nan
07544,7.0,6.2,3.0
07601,$295K,98.4%,$233,2,$290K,100.0%,$226,46,7.2,5.666666666666667,8.0
07602,nan,nan,nan
07603,$390K,98.7%,$242,1,$390K,—,$228,19,7.5,5.0,5.0
07604,$467K,99.4%,$279,1,$470K,20.0%,$261,21,7.666666666666667,6.0,5.5
07605,$599K,96.9%,$298,1,$521K,10.0%,$312,9,7.5,7.0,8.0
07606,$414K,101.4%,$330,—,$479K,—,$185,3,5.0,6.0,10.0
07607,$449K,98.9%,$249,1,$434K,3.5%,$248,14,6.666666666666667,7.0,nan
07608,7.0,6.0,8.0
07620,$3.3M,87.9%,$540,—,$1.4M,—,$396,3,9.0,9.0,nan
07621,$429K,99.0%,$275,1,$425K,15.4%,$270,43,6.4,5.0,7.0
07624,$799K,95.8%,$319,1,$567K,28.3%,$274,10,8.0,8.666666666666666,7.0
07626,$900K,95.3%,$339,2,$679K,100.0%,$313,16,8.0,8.0,8.0
07627,$1.12M,96.8%,$355,1,$1.16M,20.0%,$357,5,8.75,8.0,7.5
07628,$429K,96.4%,$262,1,$420K,6.9%,$255,34,7.25,7.5,8.0
07630,$517K,97.2%,$246,1,$520K,21.3%,$246,23,6.0,7.5,8.0
07631,$449K,97.9%,$292,1,$363K,20.4%,$250,40,6.0,6.333333333333333,6.0
07632,$1.45M,93.4%,$435,1,$1.02M,—,$347,7,5.4,6.0,6.0
07640,$645K,100.1%,$256,—,$630K,—,$185,5,8.0,8.0,nan
07641,$825K,98.0%,$289,1,$670K,10.0%,$247,7,8.0,8.0,8.0
07642,$572K,96.5%,$281,1,$485K,—,$275,14,7.5,6.0,8.0
07643,$345K,99.8%,$229,1,$381K,20.0%,$258,10,5.0,5.0,nan
07644,$397K,97.9%,$251,3,$370K,3.5%,$223,16,7.0,6.0,5.5
07645,$679K,96.8%,$270,1,$555K,—,$258,19,8.75,8.0,8.0
07646,$469K,99.5%,$259,1,$429K,5.9%,$277,26,6.6,7.0,7.0
07647,$525K,100.3%,$260,1,$483K,20.0%,$282,4,8.0,8.0,nan
07648,$607K,98.6%,$253,1,$546K,21.4%,$272,13,8.0,8.0,nan
07649,$605K,98.1%,$293,3,$593K,20.0%,$295,14,7.0,nan,7.0
07650,$759K,97.7%,$341,1,$770K,20.1%,$344,31,6.666666666666667,5.666666666666667,6.0
07652,$689K,96.8%,$326,1,$600K,19.4%,$314,37,8.0,6.333333333333333,4.333333333333333
07653,nan,nan,nan
07656,$584K,97.1%,$260,—,$560K,—,$304,17,8.5,8.0,7.0
07657,$549K,99.2%,$298,1,$438K,5.0%,$327,13,5.75,5.333333333333333,5.666666666666667
07660,$344K,99.4%,$227,1,$313K,20.0%,$234,8,5.0,6.0,6.0
07661,$527K,98.1%,$301,1,$498K,20.0%,$300,24,8.5,7.0,nan
07662,$399K,98.3%,$259,1,$407K,—,$281,12,6.0,6.0,nan
07663,$439K,97.8%,$269,1,$421K,5.0%,$264,24,5.75,5.0,5.0
07666,$423K,98.0%,$252,1,$419K,20.0%,$251,59,6.0,4.666666666666667,6.75
07670,$1.05M,95.6%,$370,1,$805K,24.3%,$373,26,7.0,6.0,6.0
07675,$679K,96.9%,$274,1,$569K,20.0%,$268,47,8.4,7.8,7.666666666666667
07676,$509K,98.2%,$261,—,$477K,—,$287,19,6.5,6.0,6.0
07677,$760K,97.6%,$254,1,$705K,—,$256,5,8.5,8.0,7.0
07699,7.0,nan,nan
07701,$444K,97.2%,$269,1,$380K,20.0%,$252,42,6.6,7.0,6.0
07702,$595K,98.8%,$262,2,$545K,—,$289,5,7.0,8.0,nan
07703,nan,nan,nan
