zipcode,med_list_price,avg_sale,med_list_per_sqft,avg_num_offers,med_sale_price,avg_down_payment,med_sale_per_sqft,num_sold,ele_school_mean,mid_school_mean,high_school_mean
07950,$519K,97.8%,$247,1,$455K,20.0%,$246,34,7.8,6.0,7.0
07960,$650K,97.6%,$271,1,$500K,10.0%,$270,60,8.2,7.6,6.5
07961,6.0,nan,5.0
07962,6.333333333333333,7.0,5.0
07963,nan,nan,nan
07970,nan,nan,nan
07974,$612K,97.3%,$300,1,$556K,13.1%,$295,20,8.0,8.0,7.5
07976,$1.87M,95.9%,$310,1,$863K,20.0%,$310,1,nan,nan,nan
07977,$797K,94.3%,$355,—,$825K,—,$341,1,nan,nan,nan
07978,7.666666666666667,7.666666666666667,7.666666666666667
07979,$520K,95.3%,$203,—,$625K,—,$256,1,nan,nan,nan
07980,$607K,96.4%,$264,—,$548K,—,$216,8,nan,nan,nan
07981,$580K,96.4%,$267,—,$451K,10.0%,$272,16,6.666666666666667,6.666666666666667,6.666666666666667
07983,6.0,6.0,6.0
07999,nan,nan,nan
08001,$202K,96.7%,$116,—,$235K,—,$145,2,5.0,5.0,5.0
08002,$250K,98.5%,$137,1,$248K,1.0%,$142,44,5.4,5.4,5.4
08003,$330K,97.7%,$138,1,$292K,64.9%,$133,66,7.4,7.4,7.4
08004,$180K,100.7%,$102,—,$151K,—,$103,31,3.0,3.0,3.0
08005,$325K,98.2%,$143,1,$250K,3.5%,$137,68,5.6,4.5,5.75
08006,$849K,100.0%,$528,—,$563K,—,$449,5,nan,nan,nan
08007,$205K,99.8%,$124,1,$200K,23.3%,$146,12,8.0,8.0,8.0
08008,$998K,95.5%,$546,1,$829K,—,$510,81,5.8,5.8,5.8
08009,$235K,97.1%,$121,1,$225K,—,$124,31,3.6,3.6,3.6
08010,$154K,95.7%,$114,1,$172K,3.6%,$107,23,4.333333333333333,4.333333333333333,4.333333333333333
08011,nan,nan,nan
08012,$190K,98.4%,$115,1,$185K,7.4%,$113,75,5.8,5.8,5.8
08014,$112K,71.1%,$61,—,$32K,—,$18,1,nan,nan,nan
08015,$170K,97.0%,$112,—,$157K,—,$118,42,4.0,4.0,4.0
08016,$220K,96.3%,$121,1,$205K,4.0%,$118,72,5.0,5.0,5.0
08018,$100K,99.1%,$58,—,$99K,—,$57,1,3.5,3.5,3.5
08019,$305K,100.0%,$143,—,$350K,—,$166,1,4.0,4.0,4.0
08020,$260K,88.9%,$132,—,$252K,—,$111,5,7.0,7.0,nan
08021,$140K,98.5%,$93,1,$150K,3.5%,$97,89,5.2,4.8,2.75
08022,$315K,98.0%,$156,1,$370K,—,$149,27,6.333333333333333,6.0,5.0
08023,$59.9K,93.9%,$65,—,$122K,—,$104,1,nan,nan,nan
08025,$120K,—,—,—,—,—,—,—,nan,nan,nan
08026,$265K,93.7%,$141,—,$221K,—,$116,5,3.0,5.0,2.0
08027,$192K,94.5%,$112,3,$165K,3.5%,$112,13,4.0,3.5,1.0
08028,$197K,96.9%,$116,1,$197K,2.2%,$109,30,4.4,3.75,3.0
08029,$190K,98.7%,$106,—,$148K,3.1%,$103,20,3.6666666666666665,nan,3.0
08030,$104K,93.9%,$78,1,$81.5K,3.9%,$62,29,3.5,3.3333333333333335,4.0
08031,$164K,97.9%,$111,1,$160K,—,$124,25,5.25,nan,nan
08032,$178K,101.0%,$96,—,$222K,—,$122,1,nan,nan,nan
08033,$595K,96.7%,$213,1,$455K,18.8%,$221,44,7.2,5.333333333333333,6.666666666666667
08034,$250K,97.9%,$140,1,$250K,20.0%,$137,54,6.0,6.0,7.5
08035,$305K,97.5%,$167,1,$261K,20.0%,$163,16,6.25,3.6666666666666665,4.0
08036,$322K,95.8%,$160,1,$287K,7.0%,$162,8,5.0,5.0,nan
08037,$218K,97.8%,$124,1,$199K,—,$109,50,4.0,4.0,5.0
08038,$89.9K,98.6%,$69,—,$183K,—,$126,1,nan,nan,nan
08039,$625K,95.9%,$263,—,$325K,—,$77,1,6.0,nan,nan
08041,$329K,105.1%,$145,—,$210K,—,$151,1,6.0,nan,nan
08042,$640K,94.9%,$118,—,$300K,—,$148,1,nan,nan,nan
08043,$345K,96.6%,$131,1,$265K,47.8%,$123,59,6.6,4.75,4.5
08045,$140K,97.9%,$87,—,$151K,—,$57,7,4.5,4.5,nan
08046,$174K,97.6%,$101,1,$178K,3.5%,$98,70,3.8,3.5,2.0
08048,$245K,97.1%,$145,1,$250K,5.0%,$124,26,4.666666666666667,4.5,nan
08049,$177K,93.7%,$119,1,$170K,—,$115,13,4.0,4.0,nan
08050,$345K,97.7%,$166,1,$313K,3.0%,$164,66,5.6,4.5,7.0
08051,$160K,98.2%,$117,1,$147K,3.0%,$120,13,5.0,nan,nan
08052,$166K,95.7%,$114,1,$182K,—,$138,33,4.333333333333333,3.5,4.5
08053,$315K,98.5%,$144,1,$256K,25.0%,$141,98,6.8,5.6,6.0
08054,$280K,97.8%,$146,1,$256K,3.5%,$141,118,6.4,5.5,7.5
08055,$399K,98.0%,$151,1,$355K,3.4%,$144,67,7.4,7.4,5.333333333333333
08056,$385K,98.8%,$132,1,$399K,18.7%,$128,9,7.0,7.0,7.0
08057,$625K,97.1%,$199,1,$435K,3.0%,$164,37,5.2,5.2,6.666666666666667
08059,$157K,96.7%,$123,1,$158K,10.0%,$109,17,4.0,4.0,4.0
08060,$210K,98.1%,$125,1,$217K,20.0%,$124,40,4.4,4.4,4.4
08061,$234K,98.7%,$114,1,$201K,4.5%,$110,8,nan,nan,nan
08062,$419K,98.9%,$137,1,$330K,20.0%,$133,24,5.2,5.2,5.2
08063,$145K,87.3%,$109,1,$75K,3.5%,$33,3,2.0,2.0,2.0
08064,$155K,100.0%,$97,—,$155K,—,$97,1,nan,nan,nan
08065,$170K,94.9%,$126,—,$151K,—,$118,25,5.5,5.5,5.5
08066,$100K,96.8%,$75,—,$125K,—,$102,7,3.0,3.0,3.0
08067,$322K,96.2%,$148,1,$93.39K,—,$94,2,4.0,4.0,4.0
08068,$183K,94.7%,$104,4,$188K,2.7%,$127,8,3.0,3.0,3.0
08069,$119K,95.7%,$83,1,$130K,3.0%,$74,5,3.6666666666666665,3.6666666666666665,3.6666666666666665
08070,$135K,97.4%,$91,1,$123K,—,$79,24,4.4,4.4,4.4
08071,$175K,96.0%,$110,—,$166K,—,$127,20,4.333333333333333,4.333333333333333,4.333333333333333
08072,$72.5K,103.0%,$68,—,$20.5K,—,$98,1,nan,nan,nan
08073,$295K,55.2%,$122,—,$180K,—,$66,1,nan,nan,nan
08074,nan,nan,nan
08075,$220K,97.3%,$127,1,$215K,—,$126,49,4.6,4.6,4.6
08076,5.666666666666667,5.666666666666667,5.0
08077,$277K,97.9%,$143,1,$306K,—,$138,38,5.666666666666667,5.666666666666667,5.666666666666667
08078,$160K,97.2%,$103,1,$165K,—,$110,11,4.333333333333333,4.333333333333333,4.333333333333333
08079,$79.9K,91.1%,$81,—,$32.5K,—,$17,9,6.0,6.0,6.0
08080,$257K,96.9%,$121,1,$224K,20.0%,$120,62,6.0,6.0,6.0
08081,$200K,98.2%,$106,1,$195K,13.4%,$105,128,5.2,5.2,5.2
08083,$186K,95.2%,$111,—,$170K,3.5%,$116,22,5.2,5.2,5.2
08084,$179K,98.0%,$118,1,$207K,3.0%,$118,15,5.333333333333333,5.333333333333333,5.333333333333333
08085,$277K,97.7%,$127,1,$283K,2.9%,$125,40,6.4,6.4,6.4
08086,$214K,98.7%,$113,—,$175K,—,$112,17,2.75,2.75,2.75
08087,$230K,95.0%,$140,1,$205K,—,$129,69,6.2,6.2,6.2
08088,$317K,97.9%,$145,1,$270K,20.0%,$144,61,5.8,5.8,5.8
08089,$190K,97.1%,$110,—,$170K,—,$103,12,4.0,4.0,4.0
08090,$220K,96.9%,$120,1,$189K,—,$109,13,5.333333333333333,5.333333333333333,5.333333333333333
08091,$175K,99.9%,$137,1,$195K,—,$150,23,4.333333333333333,4.333333333333333,4.333333333333333
08092,$368K,95.1%,$153,—,$263K,—,$140,6,6.0,6.0,6.0
08093,$140K,97.4%,$100,1,$162K,—,$99,15,4.2,4.2,4.2
08094,$198K,99.9%,$111,1,$205K,3.5%,$107,65,4.8,4.8,4.8
08095,$135K,100.0%,$16,—,$29.9K,—,$16,1,nan,nan,nan
08096,$175K,96.9%,$110,1,$176K,9.7%,$109,64,5.0,5.0,5.0
08096,$175K,96.9%,$110,1,$176K,9.7%,$109,64,5.0,5.0,5.0
08097,$194K,97.9%,$103,1,$200K,3.5%,$100,5,4.666666666666667,4.666666666666667,4.666666666666667
08098,$225K,97.1%,$122,1,$233K,1.1%,$106,6,5.333333333333333,5.333333333333333,5.333333333333333
08099,nan,nan,nan
08101,$69.45K,104.7%,$52,—,$92K,—,$65,1,nan,nan,nan
08102,$90K,91.8%,$49,—,$40K,—,$34,3,nan,nan,nan
08103,$62K,94.3%,$47,—,$96K,—,$68,7,2.0,2.0,2.0
08104,$55K,92.0%,$48,—,$34.5K,—,$28,10,2.2,2.2,2.2
08104,$55K,92.0%,$48,—,$34.5K,—,$28,10,2.2,2.2,2.2
08105,$79.9K,96.0%,$73,—,$85K,—,$64,12,2.8,2.8,2.8
08106,$200K,96.8%,$137,—,$176K,20.0%,$119,18,5.0,5.0,5.0
08107,$190K,97.3%,$122,1,$175K,0.0%,$114,36,6.0,6.0,6.0
08107,$190K,97.3%,$122,1,$175K,0.0%,$114,36,6.0,6.0,6.0
08108,$255K,97.5%,$171,1,$270K,6.9%,$179,39,6.0,6.0,6.0
08108,$255K,97.5%,$171,1,$270K,6.9%,$179,39,6.0,6.0,6.0
08109,$184K,97.5%,$111,1,$175K,9.5%,$110,51,4.8,4.8,4.8
08110,$155K,98.0%,$98,—,$153K,3.5%,$104,36,4.8,3.2,2.6666666666666665
08201,$190K,97.9%,$120,—,$185K,—,$133,19,3.25,3.25,3.25
08202,$2.3M,95.4%,$768,—,$1.45M,—,$796,41,6.0,6.0,6.0
08203,$350K,96.1%,$245,1,$315K,20.0%,$238,64,2.6,2.6,2.6
08204,$450K,96.0%,$307,1,$288K,20.0%,$227,54,5.5,5.5,5.5
08205,$208K,96.8%,$112,—,$179K,—,$107,54,5.2,5.2,5.2
08210,$284K,96.1%,$161,1,$260K,15.3%,$163,25,5.4,5.4,5.4
08212,$1.12M,96.9%,$542,—,$1.01M,—,$750,4,nan,nan,nan
08213,nan,nan,nan
08214,$215K,100.0%,$150,—,$215K,—,$150,1,6.0,6.0,6.0
08215,$168K,99.0%,$98,—,$146K,—,$95,19,5.2,5.2,5.2
08217,nan,nan,nan
08218,$219K,—,—,—,—,—,—,—,nan,nan,nan
08219,$250K,—,$160,—,—,—,—,—,nan,nan,nan
08220,nan,nan,nan
08221,$325K,96.2%,$152,1,$236K,4.8%,$143,18,5.0,5.0,5.0
08223,$325K,95.7%,$158,—,$265K,—,$168,9,8.0,8.0,8.0
08224,$315K,97.1%,$131,—,$359K,—,$149,1,4.0,4.0,4.0
08225,$220K,97.8%,$135,—,$165K,—,$110,14,3.5,3.5,3.5
08226,$640K,96.3%,$458,1,$592K,9.1%,$422,98,6.0,6.0,6.0
08230,$340K,96.8%,$154,—,$357K,—,$156,6,nan,nan,nan
08231,nan,nan,nan
08232,$110K,93.0%,$84,—,$100K,—,$97,23,3.0,2.0,2.0
08234,$240K,98.0%,$116,—,$215K,20.0%,$117,68,4.8,5.2,4.2
08240,$172K,94.2%,$121,—,$162K,—,$114,1,5.0,nan,nan
08241,$240K,97.5%,$119,—,$295K,—,$133,3,7.0,7.0,nan
08242,$200K,97.9%,$138,—,$180K,—,$158,3,nan,nan,nan
08243,$812K,97.4%,$488,1,$685K,38.0%,$425,23,nan,nan,nan
08244,$210K,98.6%,$144,—,$188K,—,$111,18,5.0,4.0,nan
08245,$439K,—,$213,—,—,—,—,—,nan,nan,nan
08246,—,—,$117,—,—,—,—,—,nan,nan,nan
08247,$1.9M,94.4%,$1.03K,—,$2.35M,—,$910,12,5.0,nan,nan
08248,$837K,96.3%,$451,—,$818K,—,$348,2,nan,nan,nan
08250,$81K,100.0%,$62,—,$81K,—,$62,1,nan,nan,nan
08251,$229K,97.4%,$197,—,$170K,—,$189,26,nan,nan,nan
08252,nan,nan,nan
08260,$339K,95.7%,$272,1,$307K,—,$242,104,3.3333333333333335,4.0,2.0
08270,$250K,96.9%,$143,—,$185K,—,$127,7,5.25,5.0,nan
08302,$140K,98.0%,$92,1,$117K,3.3%,$63,32,4.8,5.2,3.3333333333333335
08310,$135K,121.5%,$90,—,$223K,—,$102,2,3.0,4.0,3.0
08311,$133K,57.1%,$88,—,$40K,—,$32,1,4.0,4.0,nan
08312,$160K,95.3%,$104,1,$118K,—,$77,12,4.0,3.0,3.0
08313,nan,nan,nan
08314,$130K,78.9%,$97,—,$142K,—,$177,1,nan,nan,nan
08315,$80K,87.5%,$105,—,$35K,—,$36,1,nan,nan,nan
08316,$136K,99.5%,$105,—,$385K,—,$117,1,nan,nan,nan
08317,$210K,111.0%,$136,—,$194K,—,$123,1,5.0,5.0,nan
08318,$212K,96.2%,$114,1,$212K,—,$105,17,3.4,4.2,4.333333333333333
08319,$169K,97.5%,$128,—,$254K,—,$161,2,5.5,5.5,nan
08320,$182K,98.2%,$101,—,$107K,—,$73,1,nan,nan,nan
08321,$115K,70.1%,$151,—,$35K,—,$113,1,nan,nan,nan
08322,$206K,106.9%,$108,1,$125K,—,$121,11,4.5,4.5,4.0
08323,$155K,98.5%,$94,—,$10.4K,—,$7,1,nan,nan,nan
08324,$74.95K,71.4%,$44,—,$25K,—,$67,1,nan,nan,nan
08326,$165K,103.1%,$129,—,$169K,—,$125,1,nan,nan,nan
08327,$115K,104.5%,$76,—,$209K,—,$125,1,nan,nan,nan
08328,$148K,96.7%,$102,—,$154K,—,$109,5,nan,nan,nan
08329,$128K,51.3%,$43,—,$41K,—,$22,1,nan,nan,nan
08330,$175K,98.9%,$109,—,$165K,20.3%,$100,49,4.8,5.2,4.5
08332,$125K,95.7%,$81,1,$148K,—,$93,42,4.6,3.6,3.0
08340,$295K,93.9%,$146,—,$228K,—,$115,2,nan,nan,nan
08341,$134K,104.6%,$113,—,$176K,—,$140,2,2.0,nan,nan
08342,$79K,89.3%,$79,—,$125K,—,$106,1,nan,nan,nan
08343,$242K,95.3%,$117,1,$259K,—,$116,5,4.666666666666667,5.0,nan
08344,$165K,95.1%,$110,—,$190K,—,$129,9,3.6666666666666665,5.0,4.0
08345,$130K,93.2%,$141,—,$40K,—,$23,1,4.0,4.0,nan
08346,$145K,93.2%,$86,—,$74.25K,—,$61,2,nan,nan,nan
08347,$100K,—,—,—,—,—,—,—,nan,nan,nan
08348,$45K,62.7%,$36,—,$25K,—,$23,1,5.0,5.0,nan
08349,$52.45K,115.0%,$39,—,$11.5K,—,$9,1,3.0,3.0,nan
08350,$205K,92.1%,$95,—,$194K,—,$111,2,nan,nan,nan
08352,$179K,100.0%,$136,—,$150K,—,$136,1,nan,nan,nan
08353,$105K,94.3%,$51,—,$110K,—,$65,2,nan,nan,nan
08360,$155K,96.1%,$103,—,$125K,—,$95,48,4.4,3.0,3.0
08361,$200K,98.3%,$108,1,$210K,—,$105,25,4.2,3.0,3.5
08362,nan,nan,nan
08401,$124K,92.3%,$113,1,$117K,—,$105,53,4.8,6.0,3.0
08402,$580K,93.8%,$352,1,$549K,—,$317,53,6.5,7.5,nan
08403,$1.29M,93.2%,$508,—,$1.05M,—,$318,9,nan,nan,nan
08404,nan,nan,nan
08405,2.6,2.6,nan
08406,$325K,94.8%,$212,1,$268K,—,$179,33,6.0,6.666666666666667,nan
08501,$489K,98.4%,$184,2,$385K,—,$182,7,7.0,6.0,6.5
08502,$727K,97.9%,$219,1,$658K,15.3%,$209,18,8.0,8.0,8.0
08504,8.0,8.0,8.0
08505,$290K,98.1%,$150,1,$245K,3.0%,$156,33,5.8,5.8,5.8
08510,$620K,97.4%,$180,2,$650K,20.0%,$199,5,6.666666666666667,6.666666666666667,6.666666666666667
08511,$340K,102.6%,$181,1,$332K,—,$152,2,nan,nan,nan
08512,$625K,97.3%,$221,1,$387K,11.5%,$208,4,8.0,8.0,8.0
08514,$507K,94.9%,$172,1,$614K,—,$176,8,nan,nan,nan
08515,$429K,95.4%,$155,2,$355K,—,$152,11,7.0,7.0,7.0
08518,$195K,97.1%,$117,1,$185K,24.1%,$130,13,3.0,3.0,3.0
08520,$285K,97.1%,$164,1,$260K,39.7%,$154,36,5.4,5.4,5.4
08525,$400K,97.6%,$205,1,$415K,20.0%,$176,7,6.0,6.0,6.0
08526,$180K,92.5%,$234,—,$310K,—,$162,1,nan,nan,nan
08527,$399K,98.0%,$174,1,$365K,26.5%,$173,136,6.6,6.6,6.6
08528,$229K,93.7%,$131,1,$299K,19.0%,$198,1,nan,nan,nan
08530,$464K,96.5%,$227,1,$502K,5.0%,$201,9,10.0,10.0,9.0
08533,$380K,97.5%,$164,1,$350K,10.0%,$156,17,6.0,6.0,5.0
08534,$475K,97.8%,$202,2,$349K,18.8%,$188,13,7.666666666666667,6.0,8.0
08535,$779K,96.7%,$185,1,$575K,—,$180,9,5.8,5.8,5.8
08536,$400K,98.0%,$226,1,$420K,51.2%,$223,23,7.0,7.0,7.0
08540,$675K,97.7%,$280,1,$619K,20.0%,$246,61,8.2,8.2,8.2
08541,7.75,7.75,7.75
08542,$955K,94.7%,$542,1,$573K,30.5%,$513,2,6.0,6.0,6.0
08543,nan,nan,nan
08544,nan,nan,nan
08550,$634K,98.8%,$240,1,$670K,19.8%,$225,17,5.5,5.5,5.5
08551,$610K,95.8%,$167,1,$313K,—,$183,2,7.5,7.5,7.5
08553,$662K,94.4%,$225,—,$425K,—,$156,1,nan,nan,nan
08554,$165K,97.3%,$111,—,$142K,—,$112,7,3.0,3.0,3.0
08555,$309K,95.7%,$144,1,$222K,—,$160,1,7.0,nan,nan
08556,$400K,98.8%,$188,—,$395K,—,$186,1,nan,nan,nan
08557,7.0,7.0,nan
08558,$759K,99.3%,$235,1,$500K,43.2%,$204,12,8.0,8.0,8.0
08559,$559K,95.8%,$214,1,$494K,—,$193,7,7.0,7.0,7.0
08560,$540K,99.3%,$197,1,$296K,—,$206,4,5.0,5.0,5.0
08561,$245K,100.0%,$138,1,$310K,19.3%,$166,1,nan,nan,nan
08562,$304K,95.4%,$152,—,$224K,—,$133,5,5.666666666666667,4.0,nan
08601,3.2,2.0,2.3333333333333335
08602,8.0,nan,nan
08603,3.2,2.5,2.25
08604,3.2,2.0,2.3333333333333335
08605,3.2,2.0,2.25
